,0
1075,83.0
1076,123.0
1077,116.0
1078,73.0
1079,31.0
1080,7.0
1081,-1.0
1082,-5.0
1083,-6.0
1084,-7.0
1085,-8.0
1086,-8.0
1087,-7.0
1088,-7.0
1089,-6.0
1090,-5.0
1091,-5.0
1092,-5.0
1093,-4.0
1094,-4.0
1095,-3.0
1096,-3.0
1097,-2.0
1098,-1.0
1099,-1.0
1100,0.0
1101,0.0
1102,0.0
1103,1.0
1104,2.0
1105,2.0
1106,3.0
1107,4.0
1108,6.0
1109,9.0
1110,10.0
1111,12.0
1112,14.0
1113,16.0
1114,17.0
1115,18.0
1116,17.0
1117,16.0
1118,13.0
1119,9.0
1120,6.0
1121,2.0
1122,0.0
1123,-1.0
1124,-3.0
1125,-5.0
1126,-6.0
1127,-7.0
1128,-8.0
1129,-8.0
1130,-9.0
1131,-9.0
1132,-9.0
1133,-9.0
1134,-9.0
1135,-9.0
1136,-9.0
1137,-8.0
1138,-8.0
1139,-8.0
1140,-8.0
1141,-8.0
1142,-7.0
1143,-7.0
1144,-6.0
1145,-5.0
1146,-5.0
1147,-6.0
1148,-6.0
1149,-6.0
1150,-6.0
1151,-5.0
1152,-5.0
1153,-4.0
1154,-3.0
1155,-3.0
1156,-3.0
1157,-2.0
1158,-1.0
1159,-1.0
1160,-2.0
1161,-3.0
1162,-3.0
1163,-2.0
1164,-2.0
1165,-3.0
1166,-3.0
1167,-3.0
1168,-3.0
1169,-3.0
1170,-3.0
1171,3.0
1172,29.0
1173,78.0
1174,120.0
1175,118.0
1176,78.0
1177,35.0
1178,9.0
1179,-1.0
1180,-4.0
1181,-6.0
1182,-7.0
1183,-8.0
1184,-8.0
1185,-8.0
1186,-7.0
1187,-7.0
1188,-6.0
1189,-5.0
1190,-5.0
1191,-5.0
1192,-4.0
1193,-3.0
1194,-3.0
1195,-3.0
1196,-3.0
1197,-2.0
1198,-1.0
1199,0.0
1200,0.0
1201,0.0
1202,1.0
1203,2.0
1204,2.0
1205,3.0
1206,6.0
1207,8.0
1208,10.0
1209,12.0
1210,14.0
1211,16.0
1212,17.0
1213,18.0
1214,17.0
1215,15.0
1216,13.0
1217,10.0
1218,6.0
1219,3.0
1220,1.0
1221,-1.0
1222,-3.0
1223,-5.0
1224,-7.0
1225,-8.0
1226,-8.0
1227,-9.0
1228,-9.0
1229,-10.0
1230,-10.0
1231,-10.0
